date,title,viewCount,likeCount,dislikeCount,commentCount
2016-02-05,"BEKHUDI Full Song (AUDIO) | TERAA SURROOR | Himesh Reshammiya, Farah Karimaee | T-Series",14659602,53825,6129,4509
2016-02-17,"GF BF VIDEO SONG | Sooraj Pancholi, Jacqueline Fernandez ft. Gurinder Seagal | T-Series",201650647,1047379,110144,39898
2016-02-21,HIGH HEELS TE NACHCHE Video Song | KI &amp; KA | Meet Bros ft. Jaz Dhami | Yo Yo Honey Singh | T-Series,161010718,327286,42824,10430
2016-03-11,"HATE STORY 3 MOVIE CLIPS 2- Beauty and Brains, Very Dangerous",4289978,12542,1511,213
2016-03-21,"TERI YAAD (REPRISE) Full Video Song | TERAA SURROOR | Himesh Reshammiya, Farah Karimaee | T-Series",46717959,173012,16501,5984
2016-03-21,"ISHQ SAMUNDAR (RELOADED) Full Video Song | Teraa Surroor | Himesh Reshammiya, Farah Karimaee, Tereza",1509684,5828,677,187
2016-03-31,"TERE NAINA MERE NAINO SE Full Video Song | AWESOME MAUSAM | Shaan, Palak Muchhal | T-Series",843371,2190,267,111
2016-04-07,HIGH HEELS TE NACHCHE Video Song | KI &amp; KA | Meet Bros ft. Jaz Dhami | Yo Yo Honey Singh | T-Series,2901439,10542,1331,329
2016-04-15,"Itni Si Baat Hain Video Song | AZHAR | Emraan Hashmi, Prachi Desai | Arijit Singh, Pritam | T-Series",16920909,48008,2243,1432
2016-05-04,"Girl I Need You Lyrical | BAAGHI | Tiger, Shraddha | Arijit Singh, Meet Bros, Roach Killa, Khushboo",32665637,170164,9652,4124
2016-05-12,"Jeena Marna Video Song | Do Lafzon Ki Kahani | Randeep Hooda, Kajal Aggarwal | T-Series",6030639,23582,1373,932
2016-05-13,"LOVE GAMES Full Video Song (Title Track)  | Patralekha, Gaurav Arora, Tara Alisha Berry | T-SERIES",2940022,7092,1128,115
2016-05-25,Yo Yo Honey Singh&#39;s BEST PARTY SONGS (22 Videos)| HINDI SONGS 2016 | BOLLYWOOD PARTY SONGS |T-SERIES,26540418,115702,12990,3686
2016-05-31,"Meherbaan Full Video Song | SARBJIT | Aishwarya Rai Bachchan, Randeep Hooda | Sukhwinder Singh",139752,818,58,39
2016-06-18,Sau Tarah Ke Audio Song | Dishoom | John Abraham | Varun Dhawan | Jacqueline Fernandez | Pritam,1939903,7404,594,237
2016-06-27,MALAMAAL Full Song with Lyrics | HOUSEFULL 3 | T-SERIES,4821158,10992,1568,309
2016-06-28,"Befikra FULL VIDEO SONG | Tiger Shroff, Disha Patani | Meet Bros ADT | Sam Bombay",36653399,142217,9962,5483
2016-06-29,Bollywood Monsoon Special | Video Jukebox | Monsoon Love Hits | Latest Hindi Songs,538149,2613,263,73
2016-07-09,"THE SHIMMER OF SINDHU Full Song | Mohenjo Daro | Hrithik Roshan, Pooja Hegde | A R Rahman",139240,1314,42,58
2016-08-05,RAJJ RAJJ KE Full Song Audio | Akira | Sonakshi Sinha | Konkana Sen Sharma | Anurag Kashyap |,1166515,7172,464,393
2016-09-05,M. S. DHONI - THE UNTOLD STORY Full Songs (Audio) | Sushant Singh Rajput | Audio Jukebox |T- Series,3375973,13238,1464,802
2016-09-16,ISHQA Video  Song | DISHOOM | John Abraham | Varun Dhawan | Jacqueline Fernandez | Pritam | T-Series,3849793,21064,989,454
2016-09-26,"LO MAAN LIYA Full Video Song | Raaz Reboot | Arijit Singh|Emraan Hashmi,Kriti Kharbanda,Gaurav Arora",46768345,167152,13713,9618
2016-09-26,"BAISAA Video Song | PARCHED | Radhika ,Tannishtha, Surveen &amp; Adil Hussain",851777,1947,227,63
2016-10-21,"&quot;Wajah Tum Ho&quot; Audio (Title Song) Mithoon, Tulsi Kumar, Sana Khan, Sharman, Gurmeet | Vishal Pandya",1532821,4984,545,435
2016-10-27,"Wajah Tum Ho: Dil Ke Paas Song | Arijit Singh, Tulsi Kumar",26208454,88805,7331,2912
2016-11-03,Dil Mein Chhupa Loonga Video Song | Wajah Tum Ho | Armaan Malik &amp; Tulsi Kumar | Meet Bros,38087712,119793,17330,80
2016-11-09,"PADHOGE LIKHOGE Full Video Song | M.S. DHONI -THE UNTOLD STORY |Sushant Singh Rajput, Disha Patani",7323757,33183,3085,1133
2016-11-12,"Koi Ishaara Lyrical |  Force 2 | John Abraham, Sonakshi Sinha, Amaal Mallik | Armaan Malik |T-Series",4261507,27762,1311,808
2016-11-22,Avi J: Die Hard Fan Video Song | Deep Jandu | T-Series,3992680,17092,1091,403
2016-11-24,"ISHQ MUBARAK Full Video Song || Tum Bin 2 || Arijit Singh | Neha Sharma, Aditya Seal &amp; Aashim Gulati",63918847,389257,17069,12336
2016-11-24,Jaz Dhami : Teri Ah Full Video Song  | Steel Banglez | Latest Song 2016,9784732,47073,1861,1146
2016-12-10,"Kaabil Hoon Full Song With Lyrics | Hrithik Roshan, Yami Gautam | Kaabil",982249,6445,521,333
2017-02-08,MERI JEET BOHEMIA Full  Song | Skull &amp; Bones,13293209,106800,6982,6604
2017-02-15,&quot;BOHEMIA&quot; Zamana Jali Full Audio Song | Skull &amp; Bones | T-Series,1103045,9117,598,275
2017-03-09,"Roke Na Ruke Naina Lyrical Video | Arijit Singh | Varun, Alia | Amaal Mallik&quot;Badrinath Ki Dulhania&quot;",46498494,248706,11751,7049
2017-03-29,"Din Shagna Da Video Song | Phillauri | Anushka Sharma, Diljit Dosanjh | Jasleen Royal",12361717,114132,3990,2081
2017-04-02,Tera Junoon Full Video Song | Machine | Jubin Nautiyal | Mustafa Kiara Advani Eshan Shanker|T-Series,8079205,31014,3220,1067
2017-04-13,Suit Suit Video Song | Hindi Medium | Irrfan Khan &amp; Saba Qamar | Guru Randhawa | Arjun,140168914,446386,45025,16029
2017-04-20,Suit Suit Lyrical Video Song | Hindi Medium | Irrfan Khan &amp; Saba Qamar | Guru Randhawa | Arjun,15132201,50420,6646,1678
2017-05-04,"Raabta Title Song Lyrical | Deepika Padukone,Arijit Singh|Sushant Singh Rajput, Kriti Sanon |Pritam",6517834,33680,2322,1081
2017-05-18,"Thoddi Waala Till Song | Simranjeet Singh, Bohemia, MixSingh | Latest Song  2017",13803142,106403,5324,4209
2017-05-28,Hrudayantar Official Trailer l Vikram Phadnis,771935,4341,278,268
2017-06-15,Neha Kakkar T-Series Mixtape : Kabira Naina l Mohd Irfan l Bhushan Kumar l Ahmed Khan l Abhijit V,40817180,294758,11612,7546
2017-06-29,"&quot;Hawa Hawa&quot; (Video Song) | Mubarakan | Anil Kapoor, Arjun Kapoor, Ileana D’Cruz, Athiya Shetty",92796875,320356,38467,12602
2017-06-29,"Hans Mat Pagle Song | Toilet- Ek Prem Katha | Akshay Kumar, Bhumi  | Shreya Ghoshal",1845420,13015,863,487
2017-07-04,"Duma Dum Mast Kalander Full Audio Song | Partition 1947 | Huma Qureshi, Om Puri",361039,3109,155,122
2017-07-18,"Tera Ishq (तेरा इश्क) Song | Nyvaan, Millind Gaba | T-Series",16682746,106504,6239,4083
2017-07-20,"&quot;Mere Rashke Qamar&quot; Song With Lyrics | Baadshaho | Ajay Devgn, Ileana, Nusrat &amp; Rahat Fateh Ali Khan",196938431,598570,70195,26267
2017-07-27,Roke Na Ruke/Mast Magan | T-Series Mixtape |Tulsi Kumar &amp; Dev Negi | Bhushan Kumar Ahmed K Abhijit V,14144020,102769,4243,2031
