video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent,date
BvPNWCzQMec,2016-02-05T08:02:51.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"BEKHUDI Full Song (AUDIO) | TERAA SURROOR | Himesh Reshammiya, Farah Karimaee | T-Series","Presenting BEKHUDI FULL SONG from upcoming movie TERAA SURROOR starring Himesh Reshammiya & Farah Karimaee in leading roles, directed Shawn ...",https://i.ytimg.com/vi/BvPNWCzQMec/default.jpg,120,90,https://i.ytimg.com/vi/BvPNWCzQMec/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BvPNWCzQMec/hqdefault.jpg,480,360,T-Series,none,2016-02-05
6CVVd9RB7CI,2016-02-17T12:31:43.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"GF BF VIDEO SONG | Sooraj Pancholi, Jacqueline Fernandez ft. Gurinder Seagal | T-Series","Gulshan Kumar Presents, a T-Series & Remo D'Souza Ent. Pvt. Ltd production, Bhushan Kumar's GF BF Video Song starring Jacqueline Fernandez & Sooraj ...",https://i.ytimg.com/vi/6CVVd9RB7CI/default.jpg,120,90,https://i.ytimg.com/vi/6CVVd9RB7CI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6CVVd9RB7CI/hqdefault.jpg,480,360,T-Series,none,2016-02-17
N_KpjLhJa1k,2016-02-21T06:00:00.000Z,UCq-Fj5jknLsUf-MWSy4_brA,HIGH HEELS TE NACHCHE Video Song | KI &amp; KA | Meet Bros ft. Jaz Dhami | Yo Yo Honey Singh | T-Series,Presenting HIGH HEELS TE NACHCHE Video Song from upcoming movie KI & KA starring Arjun Kapoor & Kareena Kapoor in leading roles sung by Meet Bros ...,https://i.ytimg.com/vi/N_KpjLhJa1k/default.jpg,120,90,https://i.ytimg.com/vi/N_KpjLhJa1k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/N_KpjLhJa1k/hqdefault.jpg,480,360,T-Series,none,2016-02-21
qByn-XWA8eY,2016-03-11T13:20:30.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"HATE STORY 3 MOVIE CLIPS 2- Beauty and Brains, Very Dangerous",T-Series presents FILMY FRIDAY Show - This week we are presenting HATE STORY 3 MOVIE CLIPS. This movie clip shows Daisy Shah as a bold woman with ...,https://i.ytimg.com/vi/qByn-XWA8eY/default.jpg,120,90,https://i.ytimg.com/vi/qByn-XWA8eY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/qByn-XWA8eY/hqdefault.jpg,480,360,T-Series,none,2016-03-11
k4sv4Sdp_DU,2016-03-21T08:27:25.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"TERI YAAD (REPRISE) Full Video Song | TERAA SURROOR | Himesh Reshammiya, Farah Karimaee | T-Series",Presenting TERI YAAD (REPRISE) Full Video Song from TERAA SURROOR starring Himesh Reshammiya & Farah Karimaee in leading roles. The song is ...,https://i.ytimg.com/vi/k4sv4Sdp_DU/default.jpg,120,90,https://i.ytimg.com/vi/k4sv4Sdp_DU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/k4sv4Sdp_DU/hqdefault.jpg,480,360,T-Series,none,2016-03-21
Om5HgFwHHd8,2016-03-21T11:10:57.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"ISHQ SAMUNDAR (RELOADED) Full Video Song | Teraa Surroor | Himesh Reshammiya, Farah Karimaee, Tereza","Presenting ISHQ SAMUNDAR (RELOADED) Full Video song from TERAA SURROOR starring Himesh Reshammiya, Farah Karimaee in leading roles directed ...",https://i.ytimg.com/vi/Om5HgFwHHd8/default.jpg,120,90,https://i.ytimg.com/vi/Om5HgFwHHd8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Om5HgFwHHd8/hqdefault.jpg,480,360,T-Series,none,2016-03-21
JA8VRJDTizA,2016-03-31T12:42:06.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"TERE NAINA MERE NAINO SE Full Video Song | AWESOME MAUSAM | Shaan, Palak Muchhal | T-Series",Presenting Tere Naina Mere Naino Se Full Video song from movie AWESOME MAUSAM in the beautiful voice of SHAAN & PALAK MUCHHAL in the music ...,https://i.ytimg.com/vi/JA8VRJDTizA/default.jpg,120,90,https://i.ytimg.com/vi/JA8VRJDTizA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/JA8VRJDTizA/hqdefault.jpg,480,360,T-Series,none,2016-03-31
bwpq-1EXwJE,2016-04-07T12:53:43.000Z,UCq-Fj5jknLsUf-MWSy4_brA,HIGH HEELS TE NACHCHE Video Song | KI &amp; KA | Meet Bros ft. Jaz Dhami | Yo Yo Honey Singh | T-Series,Click to Share on FB - http://bit.ly/HighHeelsTeNachche Presenting HIGH HEELS TE NACHCHE Video Song from upcoming movie KI & KA starring Arjun ...,https://i.ytimg.com/vi/bwpq-1EXwJE/default.jpg,120,90,https://i.ytimg.com/vi/bwpq-1EXwJE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bwpq-1EXwJE/hqdefault.jpg,480,360,T-Series,none,2016-04-07
t7buUbo_1Qs,2016-04-15T11:29:22.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"Itni Si Baat Hain Video Song | AZHAR | Emraan Hashmi, Prachi Desai | Arijit Singh, Pritam | T-Series","Click to SHARE on FB - http://bit.ly/ItniSiBaatHainSong T-Series presents Pritam's melody & Arijit Singh's soulful voice together in ""Itni Si Baat Hain"" video song ...",https://i.ytimg.com/vi/t7buUbo_1Qs/default.jpg,120,90,https://i.ytimg.com/vi/t7buUbo_1Qs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/t7buUbo_1Qs/hqdefault.jpg,480,360,T-Series,none,2016-04-15
-9fMvHicwLE,2016-05-04T07:14:55.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"Girl I Need You Lyrical | BAAGHI | Tiger, Shraddha | Arijit Singh, Meet Bros, Roach Killa, Khushboo",Presenting GIRL I NEED YOU Lyrical Video Song from Bollywood movie BAAGHI directed by Sabbir Khan starring Tiger Shroff & Shraddha Kapoor in lead roles.,https://i.ytimg.com/vi/-9fMvHicwLE/default.jpg,120,90,https://i.ytimg.com/vi/-9fMvHicwLE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-9fMvHicwLE/hqdefault.jpg,480,360,T-Series,none,2016-05-04
smPtPgnTE3w,2016-05-12T06:28:21.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"Jeena Marna Video Song | Do Lafzon Ki Kahani | Randeep Hooda, Kajal Aggarwal | T-Series","Presenting Jeena Marna Video song from upcoming movie Do Lafzon Ki Kahani starring Randeep Hooda, Kajal Aggarwal, directed by Deepak Tijori. The song ...",https://i.ytimg.com/vi/smPtPgnTE3w/default.jpg,120,90,https://i.ytimg.com/vi/smPtPgnTE3w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/smPtPgnTE3w/hqdefault.jpg,480,360,T-Series,none,2016-05-12
a-JTFLXp6_E,2016-05-13T07:30:06.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"LOVE GAMES Full Video Song (Title Track)  | Patralekha, Gaurav Arora, Tara Alisha Berry | T-SERIES",Watch the full interview : https://youtu.be/pTD7-TZkCcw T-Series and Vishesh Films presents LOVE GAMES video song from upcoming movie Love Games ...,https://i.ytimg.com/vi/a-JTFLXp6_E/default.jpg,120,90,https://i.ytimg.com/vi/a-JTFLXp6_E/mqdefault.jpg,320,180,https://i.ytimg.com/vi/a-JTFLXp6_E/hqdefault.jpg,480,360,T-Series,none,2016-05-13
9HA5RZx-rTg,2016-05-25T14:07:28.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Yo Yo Honey Singh&#39;s BEST PARTY SONGS (22 Videos)| HINDI SONGS 2016 | BOLLYWOOD PARTY SONGS |T-SERIES,T-SERIES presents Yo Yo Honey Singh's BEST PARTY SONGS (VIDEO JUKEBOX). Blast your energy on the dance floor with TOP BOLLWOOD PARTY SONGS ...,https://i.ytimg.com/vi/9HA5RZx-rTg/default.jpg,120,90,https://i.ytimg.com/vi/9HA5RZx-rTg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9HA5RZx-rTg/hqdefault.jpg,480,360,T-Series,none,2016-05-25
2EXulwcrHx8,2016-05-31T04:00:01.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"Meherbaan Full Video Song | SARBJIT | Aishwarya Rai Bachchan, Randeep Hooda | Sukhwinder Singh","T-Series presents Meherbaan FULL VIDEO Song from BOLLYWOOD biopic movie SARBJIT starring Aishwarya Rai Bachchan, Randeep Hooda, Richa Chadda ...",https://i.ytimg.com/vi/2EXulwcrHx8/default.jpg,120,90,https://i.ytimg.com/vi/2EXulwcrHx8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2EXulwcrHx8/hqdefault.jpg,480,360,T-Series,none,2016-05-31
ZzVSyfYJKUI,2016-06-18T14:25:49.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Sau Tarah Ke Audio Song | Dishoom | John Abraham | Varun Dhawan | Jacqueline Fernandez | Pritam,"T-Series present Bollywood Movie Dishoom Song ""Sau Tarah Ke"" movie staring John Abraham, Varun Dhawan, Jacqueline Fernandez, Akshay Khanna in ...",https://i.ytimg.com/vi/ZzVSyfYJKUI/default.jpg,120,90,https://i.ytimg.com/vi/ZzVSyfYJKUI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ZzVSyfYJKUI/hqdefault.jpg,480,360,T-Series,none,2016-06-18
imXF9U1J83w,2016-06-27T09:57:13.000Z,UCq-Fj5jknLsUf-MWSy4_brA,MALAMAAL Full Song with Lyrics | HOUSEFULL 3 | T-SERIES,"Presenting Malamaal Lyrical Song from the Bollywood movie HOUSEFULL 3 directed by FARHAD-SAJID starring Akshay Kumar, Abhishek Bachchan, Riteish ...",https://i.ytimg.com/vi/imXF9U1J83w/default.jpg,120,90,https://i.ytimg.com/vi/imXF9U1J83w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/imXF9U1J83w/hqdefault.jpg,480,360,T-Series,none,2016-06-27
fUC6LJEbwHo,2016-06-28T10:30:00.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"Befikra FULL VIDEO SONG | Tiger Shroff, Disha Patani | Meet Bros ADT | Sam Bombay","Presenting latest song Befikra feat Tiger Shroff, Disha Patani composed by Meet Bros and penned by Kumaar. The video is directed by SAM BOMBAY. Song: ...",https://i.ytimg.com/vi/fUC6LJEbwHo/default.jpg,120,90,https://i.ytimg.com/vi/fUC6LJEbwHo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/fUC6LJEbwHo/hqdefault.jpg,480,360,T-Series,none,2016-06-28
OOnMt-LtchU,2016-06-29T13:40:01.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Bollywood Monsoon Special | Video Jukebox | Monsoon Love Hits | Latest Hindi Songs,Bollywood Rain Romance || Hindi Song 2017 || Latest Hindi Songs T-Series presents Bollywood Monsoon Special Hindi Songs Video Jukebox. Enjoy the latest ...,https://i.ytimg.com/vi/OOnMt-LtchU/default.jpg,120,90,https://i.ytimg.com/vi/OOnMt-LtchU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/OOnMt-LtchU/hqdefault.jpg,480,360,T-Series,none,2016-06-29
TXuJcO5G6TA,2016-07-09T12:34:59.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"THE SHIMMER OF SINDHU Full Song | Mohenjo Daro | Hrithik Roshan, Pooja Hegde | A R Rahman","Presenting ""THE SHIMMER OF SINDHU"" full audio song from the upcoming bollywood movie MOHENJO DARO starring Hrithik Roshan & Pooja Hegde in lead ...",https://i.ytimg.com/vi/TXuJcO5G6TA/default.jpg,120,90,https://i.ytimg.com/vi/TXuJcO5G6TA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TXuJcO5G6TA/hqdefault.jpg,480,360,T-Series,none,2016-07-09
Ajl3QYhKYoI,2016-08-05T10:23:43.000Z,UCq-Fj5jknLsUf-MWSy4_brA,RAJJ RAJJ KE Full Song Audio | Akira | Sonakshi Sinha | Konkana Sen Sharma | Anurag Kashyap |,"T-Series presents Bollywood Movie ""Akira"" Full Audio Song ""RAJJ RAJJ KE"". Akira is an action drama film directed by A.R. Murugadoss and produced by Fox ...",https://i.ytimg.com/vi/Ajl3QYhKYoI/default.jpg,120,90,https://i.ytimg.com/vi/Ajl3QYhKYoI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Ajl3QYhKYoI/hqdefault.jpg,480,360,T-Series,none,2016-08-05
kJy2M3bD4Dw,2016-09-05T14:07:56.000Z,UCq-Fj5jknLsUf-MWSy4_brA,M. S. DHONI - THE UNTOLD STORY Full Songs (Audio) | Sushant Singh Rajput | Audio Jukebox |T- Series,0:00 BESABRIYAAN ▻ 04:17 KAUN TUJHE ▻ 08:25 JAB TAK ▻11:13 PHIR KABHI ▻ 15:52 PARWAH NAHIN ▻ 19:53 JAB TAK (REDUX) ▻ 23:34 ...,https://i.ytimg.com/vi/kJy2M3bD4Dw/default.jpg,120,90,https://i.ytimg.com/vi/kJy2M3bD4Dw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/kJy2M3bD4Dw/hqdefault.jpg,480,360,T-Series,none,2016-09-05
Yt6t1cUXLy8,2016-09-16T02:30:00.000Z,UCq-Fj5jknLsUf-MWSy4_brA,ISHQA Video  Song | DISHOOM | John Abraham | Varun Dhawan | Jacqueline Fernandez | Pritam | T-Series,"T-Series present Bollywood Movie Dishoom Video Song ""Ishqa"" movie staring John Abraham, Varun Dhawan, Jacqueline Fernandez, Akshay Khanna in ...",https://i.ytimg.com/vi/Yt6t1cUXLy8/default.jpg,120,90,https://i.ytimg.com/vi/Yt6t1cUXLy8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Yt6t1cUXLy8/hqdefault.jpg,480,360,T-Series,none,2016-09-16
KSGYVl4ZgRs,2016-09-26T13:18:59.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"LO MAAN LIYA Full Video Song | Raaz Reboot | Arijit Singh|Emraan Hashmi,Kriti Kharbanda,Gaurav Arora","Gulshan Kumar & Vishesh Films in association with Mahesh Bhatt, Mukesh Bhatt & Bhushan Kumar presents "" Lo Maan Liya"" Full Video Song from RAAZ ...",https://i.ytimg.com/vi/KSGYVl4ZgRs/default.jpg,120,90,https://i.ytimg.com/vi/KSGYVl4ZgRs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/KSGYVl4ZgRs/hqdefault.jpg,480,360,T-Series,none,2016-09-26
4atPpRwZdhA,2016-09-26T08:32:23.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"BAISAA Video Song | PARCHED | Radhika ,Tannishtha, Surveen &amp; Adil Hussain","Presenting the Video Song ""BAISAA"" from the bollywood movie PARCHED. Parched is a Indian drama film written and directed by Leena Yadav and produced ...",https://i.ytimg.com/vi/4atPpRwZdhA/default.jpg,120,90,https://i.ytimg.com/vi/4atPpRwZdhA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4atPpRwZdhA/hqdefault.jpg,480,360,T-Series,none,2016-09-26
PgCT1xcow2w,2016-10-21T13:35:47.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"&quot;Wajah Tum Ho&quot; Audio (Title Song) Mithoon, Tulsi Kumar, Sana Khan, Sharman, Gurmeet | Vishal Pandya","Presenting full audio song ""Wajah Tum Ho"" from movie Wajah Tum Ho directed by Vishal Pandya and produced by T-Series Films starring Sana Khan, Sharman ...",https://i.ytimg.com/vi/PgCT1xcow2w/default.jpg,120,90,https://i.ytimg.com/vi/PgCT1xcow2w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PgCT1xcow2w/hqdefault.jpg,480,360,T-Series,none,2016-10-21
DwsV4uTaQwM,2016-10-27T03:30:00.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"Wajah Tum Ho: Dil Ke Paas Song | Arijit Singh, Tulsi Kumar","Presenting another soulful track from movie ""Wajah Tum Ho"" titled DIL KE PAAS in the voice of Arijit Singh, Tulsi Kumar. The movie is directed by Vishal Pandya ...",https://i.ytimg.com/vi/DwsV4uTaQwM/default.jpg,120,90,https://i.ytimg.com/vi/DwsV4uTaQwM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DwsV4uTaQwM/hqdefault.jpg,480,360,T-Series,none,2016-10-27
58kOTj-Fe1E,2016-11-03T10:47:19.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Dil Mein Chhupa Loonga Video Song | Wajah Tum Ho | Armaan Malik &amp; Tulsi Kumar | Meet Bros,"Presenting brand new Bollywood track ""Dil Mein Chhupa Loonga "" from movie Wajah Tum Ho directed by Vishal Pandya and produced by T-Series Films ...",https://i.ytimg.com/vi/58kOTj-Fe1E/default.jpg,120,90,https://i.ytimg.com/vi/58kOTj-Fe1E/mqdefault.jpg,320,180,https://i.ytimg.com/vi/58kOTj-Fe1E/hqdefault.jpg,480,360,T-Series,none,2016-11-03
Yq6mzcWR0PE,2016-11-09T15:00:07.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"PADHOGE LIKHOGE Full Video Song | M.S. DHONI -THE UNTOLD STORY |Sushant Singh Rajput, Disha Patani","T-Series present Bollywood Movie ""M. S. DHONI - THE UNTOLD STORY"" Full Video Song ""PADHOGE LIKHOGE"" movie starring Sushant Singh Rajput in the ...",https://i.ytimg.com/vi/Yq6mzcWR0PE/default.jpg,120,90,https://i.ytimg.com/vi/Yq6mzcWR0PE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Yq6mzcWR0PE/hqdefault.jpg,480,360,T-Series,none,2016-11-09
QWU5RBsWDNQ,2016-11-12T12:20:07.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"Koi Ishaara Lyrical |  Force 2 | John Abraham, Sonakshi Sinha, Amaal Mallik | Armaan Malik |T-Series","Presenting FORCE 2 new romantic song ""Koi Ishara"" with Lyrics featuring John Abraham, Sonakshi Sinha & Tahir Raj Bhasin Song Credits: Song : KOI ...",https://i.ytimg.com/vi/QWU5RBsWDNQ/default.jpg,120,90,https://i.ytimg.com/vi/QWU5RBsWDNQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/QWU5RBsWDNQ/hqdefault.jpg,480,360,T-Series,none,2016-11-12
